,HomeTeam,AwayTeam,FTR,pastHS,pastHC,pastAS,pastAC,pastHG,pastAG,HAS,HDS,AAS,ADS,Result,pastCornerDiff,pastGoalDiff,pastShotsDiff
0,Celta,Malaga,A,0.48484848484848486,0.24242424242424243,0.5151515151515151,0.24242424242424243,0.0,0.030303030303030304,0.6791946308724832,1.1326732673267326,0.893069306930693,1.0778523489932885,-1,0.0,-0.0009182736455463728,0.013774104683195593
1,Barcelona,Sociedad,H,0.15151515151515152,0.2727272727272727,0.5454545454545454,0.2727272727272727,0.15151515151515152,0.030303030303030304,1.7127516778523488,0.6534653465346534,1.481188118811881,0.6644295302013422,1,0.0,0.0036730945821854912,0.0036730945821854912
2,Real Madrid,Valencia,D,0.15151515151515152,0.36363636363636365,0.7272727272727273,0.36363636363636365,0.030303030303030304,0.030303030303030304,1.8308724832214762,0.9584158415841584,1.6990099009900987,0.7973154362416107,0,0.0,0.0,0.0036730945821854912
3,Sociedad,Celta,H,0.9696969696969697,0.48484848484848486,0.9393939393939394,0.45454545454545453,0.09090909090909091,0.030303030303030304,0.959731543624161,1.1108910891089108,1.1544554455445541,1.0335570469798656,1,0.0009182736455463737,0.0018365472910927456,0.02846648301193756
4,Granada,Sevilla,D,0.2727272727272727,0.18181818181818182,0.5454545454545454,0.18181818181818182,0.030303030303030304,0.030303030303030304,0.47248322147651,1.1108910891089108,0.5445544554455445,1.4174496644295302,0,0.0,0.0,0.007346189164370982
5,Ath Madrid,Ath Bilbao,H,0.21212121212121213,0.30303030303030304,0.696969696969697,0.30303030303030304,0.12121212121212122,0.0,1.0778523489932885,0.4792079207920792,1.1326732673267326,0.5463087248322147,1,0.0,0.0036730945821854912,0.00642791551882461
6,Barcelona,Valencia,H,0.2727272727272727,0.42424242424242425,1.0606060606060606,0.5151515151515151,0.18181818181818182,0.030303030303030304,1.7127516778523488,0.6534653465346534,1.481188118811881,0.6644295302013422,1,-0.0027548209366391177,0.004591368227731864,0.007346189164370982
7,Real Madrid,Granada,H,0.36363636363636365,0.5454545454545454,0.9393939393939394,0.36363636363636365,0.12121212121212122,0.030303030303030304,1.8308724832214762,0.9584158415841584,1.6990099009900987,0.7973154362416107,1,0.005509641873278235,0.0027548209366391185,0.010101010101010102
8,Sevilla,Real Madrid,H,1.0909090909090908,0.2727272727272727,0.6666666666666666,0.6363636363636364,0.06060606060606061,0.12121212121212122,1.1221476510067114,1.1762376237623762,0.893069306930693,1.2697986577181206,1,-0.011019283746556474,-0.0018365472910927456,0.029384756657483926
9,Valencia,Celta,H,1.5151515151515151,0.7575757575757576,1.393939393939394,0.696969696969697,0.09090909090909091,0.06060606060606061,1.0187919463087247,1.1108910891089108,1.0237623762376236,0.9154362416107381,1,0.001836547291092744,0.0009182736455463728,0.0440771349862259
10,Espanol,Ath Bilbao,D,0.48484848484848486,0.09090909090909091,1.1515151515151516,0.3939393939393939,0.09090909090909091,0.09090909090909091,0.6348993288590603,1.1980198019801978,0.9584158415841584,1.225503355704698,0,-0.009182736455463726,0.0,0.011937557392102846
11,Barcelona,Granada,H,0.45454545454545453,0.8484848484848485,1.5454545454545454,0.7878787878787878,0.24242424242424243,0.030303030303030304,1.7127516778523488,0.6534653465346534,1.481188118811881,0.6644295302013422,1,0.0018365472910927474,0.00642791551882461,0.012855831037649219
12,Ath Bilbao,Malaga,D,1.5151515151515151,0.6060606060606061,0.7878787878787878,0.45454545454545453,0.09090909090909091,0.030303030303030304,0.7973154362416107,1.0455445544554454,0.6752475247524752,1.1073825503355703,0,0.004591368227731865,0.0018365472910927456,0.04499540863177227
13,Sevilla,Barcelona,A,1.5454545454545454,0.3333333333333333,0.696969696969697,0.9090909090909091,0.12121212121212122,0.3333333333333333,1.1221476510067114,1.1762376237623762,0.893069306930693,1.2697986577181206,-1,-0.01744719926538108,-0.006427915518824609,0.03673094582185491
14,Sociedad,Ath Bilbao,H,1.1818181818181819,0.8484848484848485,2.090909090909091,0.9696969696969697,0.15151515151515152,0.09090909090909091,0.959731543624161,1.1108910891089108,1.1544554455445541,1.0335570469798656,1,-0.0036730945821854912,0.0018365472910927456,0.03305785123966942
15,Espanol,Ath Madrid,A,0.9393939393939394,0.12121212121212122,0.48484848484848486,0.3333333333333333,0.09090909090909091,0.15151515151515152,0.6348993288590603,1.1980198019801978,0.9584158415841584,1.225503355704698,-1,-0.006427915518824609,-0.0018365472910927456,0.023875114784205696
