,pastCornerDiff,pastGoalDiff,pastShotsDiff,HAS,HDS,AAS,ADS
1890,-0.11111111111111101,0.22222222222222224,4.444444444444444,1.1400651465798046,1.009549795361528,1.0368349249658935,0.8990228013029316
1891,-0.22222222222222232,-0.3333333333333333,1.8888888888888886,0.9185667752442996,0.882219190541155,0.7276034561164164,0.8794788273615635
1892,-1.7777777777777775,-0.3333333333333333,3.6666666666666665,0.8664495114006514,1.10050022737608,0.9276944065484309,1.009771986970684
1893,-0.22222222222222218,1.0,2.555555555555556,2.0716612377850163,0.6366530241018644,2.100954979536153,0.5732899022801302
1894,0.3333333333333333,0.3333333333333334,3.444444444444444,1.3224755700325734,0.4820372896771259,1.236925875397908,0.501628664495114
1895,0.5555555555555557,0.11111111111111112,3.777777777777778,0.33876221498371334,0.5820827648931332,0.25466120964074573,0.44299674267100975
1896,-1.0,-0.11111111111111116,3.2222222222222228,1.244299674267101,0.8367439745338789,1.1095952705775352,1.029315960912052
1897,0.3333333333333335,-0.33333333333333326,3.2222222222222228,0.13680781758957652,0.20009095043201452,0.12733060482037287,0.20846905537459282
1898,1.6666666666666667,0.22222222222222224,5.0,0.6123778501628664,1.0277398817644383,0.66393815370623,0.9055374592833876
1899,-0.22222222222222232,0.0,5.111111111111112,0.6123778501628664,1.10050022737608,0.7185084129149613,1.3159609120521172
1900,0.0,-0.6666666666666666,1.777777777777778,0.8664495114006514,1.10050022737608,0.9276944065484309,1.009771986970684
1901,-0.888888888888889,0.0,2.4444444444444446,0.8208469055374592,0.618462937698954,0.7185084129149613,0.521172638436482
1902,0.8888888888888888,-0.22222222222222224,1.6666666666666667,1.042345276872964,0.9640745793542518,1.0732150977717143,0.9641693811074917
1903,-1.1111111111111114,0.2222222222222222,1.6666666666666667,2.039087947882736,0.8094588449295134,2.0554797635288766,0.6775244299674267
1904,0.11111111111111101,-0.7777777777777777,2.111111111111111,0.37785016286644946,0.38199181446111863,0.3638017280582082,0.534201954397394
1905,0.11111111111111101,-0.2222222222222222,2.555555555555556,0.4885993485342019,0.6548431105047748,0.5638926784902227,0.5928338762214983
1906,-0.4444444444444444,-0.1111111111111111,1.0,0.5602605863192182,0.8731241473396998,0.7276034561164164,0.9902280130293158
1907,0.11111111111111101,-0.4444444444444445,1.0,1.0618892508143323,0.9095043201455206,0.9004092769440655,0.8469055374592833
1908,0.3333333333333334,0.3333333333333333,3.7777777777777772,0.12377850162866448,0.19099590723055931,0.19099590723055931,0.13680781758957652
1909,0.3333333333333333,0.22222222222222224,3.0,0.37785016286644946,0.709413369713506,0.4274670304683947,0.8013029315960912
1910,0.3333333333333333,-0.3333333333333333,2.777777777777778,0.7882736156351792,1.10050022737608,0.882219190541155,1.0162866449511399
1911,0.7777777777777778,0.0,1.5555555555555556,0.13680781758957652,0.20009095043201452,0.12733060482037287,0.20846905537459282
1912,-0.11111111111111101,-0.1111111111111111,1.4444444444444444,1.1400651465798046,1.009549795361528,1.0368349249658935,0.8990228013029316
1913,1.0,0.2222222222222222,1.6666666666666667,0.9185667752442996,0.882219190541155,0.7276034561164164,0.8794788273615635
1914,0.44444444444444436,0.0,2.3333333333333335,0.6123778501628664,1.0277398817644383,0.66393815370623,0.9055374592833876
1915,-0.6666666666666666,0.22222222222222224,1.5555555555555556,0.12377850162866448,0.19099590723055931,0.19099590723055931,0.13680781758957652
1916,0.22222222222222224,0.0,1.0,0.33876221498371334,0.5820827648931332,0.25466120964074573,0.44299674267100975
1917,0.8888888888888888,0.1111111111111111,2.111111111111111,0.6123778501628664,1.10050022737608,0.7185084129149613,1.3159609120521172
1918,-0.8888888888888888,0.4444444444444444,1.222222222222222,2.0716612377850163,0.6366530241018644,2.100954979536153,0.5732899022801302
1919,-0.22222222222222224,0.1111111111111111,1.4444444444444444,1.3224755700325734,0.4820372896771259,1.236925875397908,0.501628664495114
1920,-0.5555555555555556,-0.1111111111111111,1.3333333333333333,1.244299674267101,0.8367439745338789,1.1095952705775352,1.029315960912052
1921,0.0,0.0,0.0,0.9185667752442996,0.882219190541155,0.7276034561164164,0.8794788273615635
1922,0.0,0.0,0.0,0.37785016286644946,0.709413369713506,0.4274670304683947,0.8013029315960912
1923,0.0,0.0,0.0,0.4885993485342019,0.6548431105047748,0.5638926784902227,0.5928338762214983
1924,0.0,0.0,0.0,0.8664495114006514,1.10050022737608,0.9276944065484309,1.009771986970684
1925,0.0,0.0,0.0,0.5602605863192182,0.8731241473396998,0.7276034561164164,0.9902280130293158
1926,0.0,0.0,0.0,1.042345276872964,0.9640745793542518,1.0732150977717143,0.9641693811074917
1927,0.0,0.0,0.0,2.039087947882736,0.8094588449295134,2.0554797635288766,0.6775244299674267
1928,0.0,0.0,0.0,0.37785016286644946,0.38199181446111863,0.3638017280582082,0.534201954397394
1929,0.0,0.0,0.0,0.7882736156351792,1.10050022737608,0.882219190541155,1.0162866449511399
1930,0.0,0.0,0.0,0.8208469055374592,0.618462937698954,0.7185084129149613,0.521172638436482
1931,0.0,0.0,0.0,1.244299674267101,0.8367439745338789,1.1095952705775352,1.029315960912052
1932,0.0,0.0,0.0,1.0618892508143323,0.9095043201455206,0.9004092769440655,0.8469055374592833
1933,0.0,0.0,0.0,0.12377850162866448,0.19099590723055931,0.19099590723055931,0.13680781758957652
1934,0.0,0.0,0.0,1.1400651465798046,1.009549795361528,1.0368349249658935,0.8990228013029316
1935,0.0,0.0,0.0,0.13680781758957652,0.20009095043201452,0.12733060482037287,0.20846905537459282
